givenName,code,dateOfBirth,driverId,permanentNumber,url,familyName,nationality
Mika,,1968-09-28,hakkinen,,http://en.wikipedia.org/wiki/Mika_H%C3%A4kkinen,Häkkinen,Finnish
Nick,HEI,1977-05-10,heidfeld,,http://en.wikipedia.org/wiki/Nick_Heidfeld,Heidfeld,German
Eddie,,1965-11-10,irvine,,http://en.wikipedia.org/wiki/Eddie_Irvine,Irvine,British
Tarso,,1976-01-19,marques,,http://en.wikipedia.org/wiki/Tarso_Marques,Marques,Brazilian
Gastón,,1975-05-08,mazzacane,,http://en.wikipedia.org/wiki/Gast%C3%B3n_Mazzacane,Mazzacane,Argentine
Juan,MON,1975-09-20,montoya,,http://en.wikipedia.org/wiki/Juan_Pablo_Montoya,Pablo Montoya,Colombian
Olivier,,1966-09-02,panis,,http://en.wikipedia.org/wiki/Olivier_Panis,Panis,French
Kimi,RAI,1979-10-17,raikkonen,7,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,Räikkönen,Finnish
Michael,MSC,1969-01-03,michael_schumacher,,http://en.wikipedia.org/wiki/Michael_Schumacher,Schumacher,German
Ralf,SCH,1975-06-30,ralf_schumacher,,http://en.wikipedia.org/wiki/Ralf_Schumacher,Schumacher,German
Jarno,TRU,1974-07-13,trulli,,http://en.wikipedia.org/wiki/Jarno_Trulli,Trulli,Italian
Jos,,1972-03-04,verstappen,,http://en.wikipedia.org/wiki/Jos_Verstappen,Verstappen,Dutch
Jacques,VIL,1971-04-09,villeneuve,,http://en.wikipedia.org/wiki/Jacques_Villeneuve,Villeneuve,Canadian
Alex,,1976-07-20,yoong,,http://en.wikipedia.org/wiki/Alex_Yoong,Yoong,Malaysian
Ricardo,ZON,1976-03-23,zonta,,http://en.wikipedia.org/wiki/Ricardo_Zonta,Zonta,Brazilian
Rubens,BAR,1972-05-23,barrichello,,http://en.wikipedia.org/wiki/Rubens_Barrichello,Barrichello,Brazilian
Enrique,,1978-10-19,bernoldi,,http://en.wikipedia.org/wiki/Enrique_Bernoldi,Bernoldi,Brazilian
Jenson,BUT,1980-01-19,button,22,http://en.wikipedia.org/wiki/Jenson_Button,Button,British
David,COU,1971-03-27,coulthard,,http://en.wikipedia.org/wiki/David_Coulthard,Coulthard,British
Anthony,DAV,1979-04-18,davidson,,http://en.wikipedia.org/wiki/Anthony_Davidson,Davidson,British
Pedro,DLR,1971-02-24,rosa,,http://en.wikipedia.org/wiki/Pedro_de_la_Rosa,de la Rosa,Spanish
Giancarlo,FIS,1973-01-14,fisichella,,http://en.wikipedia.org/wiki/Giancarlo_Fisichella,Fisichella,Italian
Heinz-Harald,,1967-05-18,frentzen,,http://en.wikipedia.org/wiki/Heinz-Harald_Frentzen,Frentzen,German
Nick,HEI,1977-05-10,heidfeld,,http://en.wikipedia.org/wiki/Nick_Heidfeld,Heidfeld,German
Eddie,,1965-11-10,irvine,,http://en.wikipedia.org/wiki/Eddie_Irvine,Irvine,British
Felipe,MAS,1981-04-25,massa,19,http://en.wikipedia.org/wiki/Felipe_Massa,Massa,Brazilian
Allan,,1969-12-29,mcnish,,http://en.wikipedia.org/wiki/Allan_McNish,McNish,British
Juan,MON,1975-09-20,montoya,,http://en.wikipedia.org/wiki/Juan_Pablo_Montoya,Pablo Montoya,Colombian
Olivier,,1966-09-02,panis,,http://en.wikipedia.org/wiki/Olivier_Panis,Panis,French
Kimi,RAI,1979-10-17,raikkonen,7,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,Räikkönen,Finnish
Mika,,1966-11-30,salo,,http://en.wikipedia.org/wiki/Mika_Salo,Salo,Finnish
Takuma,SAT,1977-01-28,sato,,http://en.wikipedia.org/wiki/Takuma_Sato,Sato,Japanese
Michael,MSC,1969-01-03,michael_schumacher,,http://en.wikipedia.org/wiki/Michael_Schumacher,Schumacher,German
Ralf,SCH,1975-06-30,ralf_schumacher,,http://en.wikipedia.org/wiki/Ralf_Schumacher,Schumacher,German
Jarno,TRU,1974-07-13,trulli,,http://en.wikipedia.org/wiki/Jarno_Trulli,Trulli,Italian
Jacques,VIL,1971-04-09,villeneuve,,http://en.wikipedia.org/wiki/Jacques_Villeneuve,Villeneuve,Canadian
Mark,WEB,1976-08-27,webber,,http://en.wikipedia.org/wiki/Mark_Webber_(racing_driver),Webber,Australian
Alex,,1976-07-20,yoong,,http://en.wikipedia.org/wiki/Alex_Yoong,Yoong,Malaysian
Fernando,ALO,1981-07-29,alonso,14,http://en.wikipedia.org/wiki/Fernando_Alonso,Alonso,Spanish
Rubens,BAR,1972-05-23,barrichello,,http://en.wikipedia.org/wiki/Rubens_Barrichello,Barrichello,Brazilian
Zsolt,,1981-01-01,baumgartner,,http://en.wikipedia.org/wiki/Zsolt_Baumgartner,Baumgartner,Hungarian
Jenson,BUT,1980-01-19,button,22,http://en.wikipedia.org/wiki/Jenson_Button,Button,British
David,COU,1971-03-27,coulthard,,http://en.wikipedia.org/wiki/David_Coulthard,Coulthard,British
Cristiano,,1973-09-19,matta,,http://en.wikipedia.org/wiki/Cristiano_da_Matta,da Matta,Brazilian
Ralph,,1975-05-20,firman,,http://en.wikipedia.org/wiki/Ralph_Firman,Firman,Irish
Giancarlo,FIS,1973-01-14,fisichella,,http://en.wikipedia.org/wiki/Giancarlo_Fisichella,Fisichella,Italian
Heinz-Harald,,1967-05-18,frentzen,,http://en.wikipedia.org/wiki/Heinz-Harald_Frentzen,Frentzen,German
Marc,,1974-03-29,gene,,http://en.wikipedia.org/wiki/Marc_Gen%C3%A9,Gené,Spanish
Nick,HEI,1977-05-10,heidfeld,,http://en.wikipedia.org/wiki/Nick_Heidfeld,Heidfeld,German
Nicolas,,1978-03-03,kiesa,,http://en.wikipedia.org/wiki/Nicolas_Kiesa,Kiesa,Danish
Juan,MON,1975-09-20,montoya,,http://en.wikipedia.org/wiki/Juan_Pablo_Montoya,Pablo Montoya,Colombian
Olivier,,1966-09-02,panis,,http://en.wikipedia.org/wiki/Olivier_Panis,Panis,French
Antônio,PIZ,1980-09-11,pizzonia,,http://en.wikipedia.org/wiki/Ant%C3%B4nio_Pizzonia,Pizzonia,Brazilian
Kimi,RAI,1979-10-17,raikkonen,7,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,Räikkönen,Finnish
Takuma,SAT,1977-01-28,sato,,http://en.wikipedia.org/wiki/Takuma_Sato,Sato,Japanese
Ralf,SCH,1975-06-30,ralf_schumacher,,http://en.wikipedia.org/wiki/Ralf_Schumacher,Schumacher,German
Michael,MSC,1969-01-03,michael_schumacher,,http://en.wikipedia.org/wiki/Michael_Schumacher,Schumacher,German
Jarno,TRU,1974-07-13,trulli,,http://en.wikipedia.org/wiki/Jarno_Trulli,Trulli,Italian
Jos,,1972-03-04,verstappen,,http://en.wikipedia.org/wiki/Jos_Verstappen,Verstappen,Dutch
Jacques,VIL,1971-04-09,villeneuve,,http://en.wikipedia.org/wiki/Jacques_Villeneuve,Villeneuve,Canadian
Mark,WEB,1976-08-27,webber,,http://en.wikipedia.org/wiki/Mark_Webber_(racing_driver),Webber,Australian
Justin,,1978-07-31,wilson,,http://en.wikipedia.org/wiki/Justin_Wilson_(racing_driver),Wilson,British
Fernando,ALO,1981-07-29,alonso,14,http://en.wikipedia.org/wiki/Fernando_Alonso,Alonso,Spanish
Rubens,BAR,1972-05-23,barrichello,,http://en.wikipedia.org/wiki/Rubens_Barrichello,Barrichello,Brazilian
Zsolt,,1981-01-01,baumgartner,,http://en.wikipedia.org/wiki/Zsolt_Baumgartner,Baumgartner,Hungarian
Gianmaria,,1981-05-30,bruni,,http://en.wikipedia.org/wiki/Gianmaria_Bruni,Bruni,Italian
Jenson,BUT,1980-01-19,button,22,http://en.wikipedia.org/wiki/Jenson_Button,Button,British
David,COU,1971-03-27,coulthard,,http://en.wikipedia.org/wiki/David_Coulthard,Coulthard,British
Cristiano,,1973-09-19,matta,,http://en.wikipedia.org/wiki/Cristiano_da_Matta,da Matta,Brazilian
Giancarlo,FIS,1973-01-14,fisichella,,http://en.wikipedia.org/wiki/Giancarlo_Fisichella,Fisichella,Italian
Marc,,1974-03-29,gene,,http://en.wikipedia.org/wiki/Marc_Gen%C3%A9,Gené,Spanish
Timo,GLO,1982-03-18,glock,,http://en.wikipedia.org/wiki/Timo_Glock,Glock,German
Nick,HEI,1977-05-10,heidfeld,,http://en.wikipedia.org/wiki/Nick_Heidfeld,Heidfeld,German
Christian,KLI,1983-02-07,klien,,http://en.wikipedia.org/wiki/Christian_Klien,Klien,Austrian
Felipe,MAS,1981-04-25,massa,19,http://en.wikipedia.org/wiki/Felipe_Massa,Massa,Brazilian
Juan,MON,1975-09-20,montoya,,http://en.wikipedia.org/wiki/Juan_Pablo_Montoya,Pablo Montoya,Colombian
Olivier,,1966-09-02,panis,,http://en.wikipedia.org/wiki/Olivier_Panis,Panis,French
Giorgio,,1979-02-04,pantano,,http://en.wikipedia.org/wiki/Giorgio_Pantano,Pantano,Italian
Antônio,PIZ,1980-09-11,pizzonia,,http://en.wikipedia.org/wiki/Ant%C3%B4nio_Pizzonia,Pizzonia,Brazilian
Kimi,RAI,1979-10-17,raikkonen,7,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,Räikkönen,Finnish
Takuma,SAT,1977-01-28,sato,,http://en.wikipedia.org/wiki/Takuma_Sato,Sato,Japanese
Michael,MSC,1969-01-03,michael_schumacher,,http://en.wikipedia.org/wiki/Michael_Schumacher,Schumacher,German
Ralf,SCH,1975-06-30,ralf_schumacher,,http://en.wikipedia.org/wiki/Ralf_Schumacher,Schumacher,German
Jarno,TRU,1974-07-13,trulli,,http://en.wikipedia.org/wiki/Jarno_Trulli,Trulli,Italian
Jacques,VIL,1971-04-09,villeneuve,,http://en.wikipedia.org/wiki/Jacques_Villeneuve,Villeneuve,Canadian
Mark,WEB,1976-08-27,webber,,http://en.wikipedia.org/wiki/Mark_Webber_(racing_driver),Webber,Australian
Ricardo,ZON,1976-03-23,zonta,,http://en.wikipedia.org/wiki/Ricardo_Zonta,Zonta,Brazilian
Christijan,ALB,1979-04-16,albers,,http://en.wikipedia.org/wiki/Christijan_Albers,Albers,Dutch
Fernando,ALO,1981-07-29,alonso,14,http://en.wikipedia.org/wiki/Fernando_Alonso,Alonso,Spanish
Rubens,BAR,1972-05-23,barrichello,,http://en.wikipedia.org/wiki/Rubens_Barrichello,Barrichello,Brazilian
Jenson,BUT,1980-01-19,button,22,http://en.wikipedia.org/wiki/Jenson_Button,Button,British
David,COU,1971-03-27,coulthard,,http://en.wikipedia.org/wiki/David_Coulthard,Coulthard,British
Anthony,DAV,1979-04-18,davidson,,http://en.wikipedia.org/wiki/Anthony_Davidson,Davidson,British
Pedro,DLR,1971-02-24,rosa,,http://en.wikipedia.org/wiki/Pedro_de_la_Rosa,de la Rosa,Spanish
Robert,DOO,1981-09-23,doornbos,,http://en.wikipedia.org/wiki/Robert_Doornbos,Doornbos,Dutch
Giancarlo,FIS,1973-01-14,fisichella,,http://en.wikipedia.org/wiki/Giancarlo_Fisichella,Fisichella,Italian
Patrick,FRI,1980-09-26,friesacher,,http://en.wikipedia.org/wiki/Patrick_Friesacher,Friesacher,Austrian
Nick,HEI,1977-05-10,heidfeld,,http://en.wikipedia.org/wiki/Nick_Heidfeld,Heidfeld,German
Narain,KAR,1977-01-14,karthikeyan,,http://en.wikipedia.org/wiki/Narain_Karthikeyan,Karthikeyan,Indian
Christian,KLI,1983-02-07,klien,,http://en.wikipedia.org/wiki/Christian_Klien,Klien,Austrian
Vitantonio,LIU,1980-08-06,liuzzi,,http://en.wikipedia.org/wiki/Vitantonio_Liuzzi,Liuzzi,Italian
Felipe,MAS,1981-04-25,massa,19,http://en.wikipedia.org/wiki/Felipe_Massa,Massa,Brazilian
Tiago,TMO,1976-07-24,monteiro,,http://en.wikipedia.org/wiki/Tiago_Monteiro,Monteiro,Portuguese
Juan,MON,1975-09-20,montoya,,http://en.wikipedia.org/wiki/Juan_Pablo_Montoya,Pablo Montoya,Colombian
Antônio,PIZ,1980-09-11,pizzonia,,http://en.wikipedia.org/wiki/Ant%C3%B4nio_Pizzonia,Pizzonia,Brazilian
Kimi,RAI,1979-10-17,raikkonen,7,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,Räikkönen,Finnish
Takuma,SAT,1977-01-28,sato,,http://en.wikipedia.org/wiki/Takuma_Sato,Sato,Japanese
Michael,MSC,1969-01-03,michael_schumacher,,http://en.wikipedia.org/wiki/Michael_Schumacher,Schumacher,German
Ralf,SCH,1975-06-30,ralf_schumacher,,http://en.wikipedia.org/wiki/Ralf_Schumacher,Schumacher,German
Jarno,TRU,1974-07-13,trulli,,http://en.wikipedia.org/wiki/Jarno_Trulli,Trulli,Italian
Jacques,VIL,1971-04-09,villeneuve,,http://en.wikipedia.org/wiki/Jacques_Villeneuve,Villeneuve,Canadian
Mark,WEB,1976-08-27,webber,,http://en.wikipedia.org/wiki/Mark_Webber_(racing_driver),Webber,Australian
Alexander,WUR,1974-02-15,wurz,,http://en.wikipedia.org/wiki/Alexander_Wurz,Wurz,Austrian
Ricardo,ZON,1976-03-23,zonta,,http://en.wikipedia.org/wiki/Ricardo_Zonta,Zonta,Brazilian
Christijan,ALB,1979-04-16,albers,,http://en.wikipedia.org/wiki/Christijan_Albers,Albers,Dutch
Fernando,ALO,1981-07-29,alonso,14,http://en.wikipedia.org/wiki/Fernando_Alonso,Alonso,Spanish
Rubens,BAR,1972-05-23,barrichello,,http://en.wikipedia.org/wiki/Rubens_Barrichello,Barrichello,Brazilian
Jenson,BUT,1980-01-19,button,22,http://en.wikipedia.org/wiki/Jenson_Button,Button,British
David,COU,1971-03-27,coulthard,,http://en.wikipedia.org/wiki/David_Coulthard,Coulthard,British
Pedro,DLR,1971-02-24,rosa,,http://en.wikipedia.org/wiki/Pedro_de_la_Rosa,de la Rosa,Spanish
Robert,DOO,1981-09-23,doornbos,,http://en.wikipedia.org/wiki/Robert_Doornbos,Doornbos,Dutch
Giancarlo,FIS,1973-01-14,fisichella,,http://en.wikipedia.org/wiki/Giancarlo_Fisichella,Fisichella,Italian
Nick,HEI,1977-05-10,heidfeld,,http://en.wikipedia.org/wiki/Nick_Heidfeld,Heidfeld,German
Yuji,IDE,1975-01-21,ide,,http://en.wikipedia.org/wiki/Yuji_Ide,Ide,Japanese
Christian,KLI,1983-02-07,klien,,http://en.wikipedia.org/wiki/Christian_Klien,Klien,Austrian
Robert,KUB,1984-12-07,kubica,88,http://en.wikipedia.org/wiki/Robert_Kubica,Kubica,Polish
Vitantonio,LIU,1980-08-06,liuzzi,,http://en.wikipedia.org/wiki/Vitantonio_Liuzzi,Liuzzi,Italian
Felipe,MAS,1981-04-25,massa,19,http://en.wikipedia.org/wiki/Felipe_Massa,Massa,Brazilian
Franck,FMO,1978-01-05,montagny,,http://en.wikipedia.org/wiki/Franck_Montagny,Montagny,French
Tiago,TMO,1976-07-24,monteiro,,http://en.wikipedia.org/wiki/Tiago_Monteiro,Monteiro,Portuguese
Juan,MON,1975-09-20,montoya,,http://en.wikipedia.org/wiki/Juan_Pablo_Montoya,Pablo Montoya,Colombian
Kimi,RAI,1979-10-17,raikkonen,7,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,Räikkönen,Finnish
Nico,ROS,1985-06-27,rosberg,6,http://en.wikipedia.org/wiki/Nico_Rosberg,Rosberg,German
Takuma,SAT,1977-01-28,sato,,http://en.wikipedia.org/wiki/Takuma_Sato,Sato,Japanese
Ralf,SCH,1975-06-30,ralf_schumacher,,http://en.wikipedia.org/wiki/Ralf_Schumacher,Schumacher,German
Michael,MSC,1969-01-03,michael_schumacher,,http://en.wikipedia.org/wiki/Michael_Schumacher,Schumacher,German
Scott,SPE,1983-01-24,speed,,http://en.wikipedia.org/wiki/Scott_Speed,Speed,American
Jarno,TRU,1974-07-13,trulli,,http://en.wikipedia.org/wiki/Jarno_Trulli,Trulli,Italian
Jacques,VIL,1971-04-09,villeneuve,,http://en.wikipedia.org/wiki/Jacques_Villeneuve,Villeneuve,Canadian
Mark,WEB,1976-08-27,webber,,http://en.wikipedia.org/wiki/Mark_Webber_(racing_driver),Webber,Australian
Sakon,YAM,1982-07-09,yamamoto,,http://en.wikipedia.org/wiki/Sakon_Yamamoto,Yamamoto,Japanese
Christijan,ALB,1979-04-16,albers,,http://en.wikipedia.org/wiki/Christijan_Albers,Albers,Dutch
Fernando,ALO,1981-07-29,alonso,14,http://en.wikipedia.org/wiki/Fernando_Alonso,Alonso,Spanish
Rubens,BAR,1972-05-23,barrichello,,http://en.wikipedia.org/wiki/Rubens_Barrichello,Barrichello,Brazilian
Jenson,BUT,1980-01-19,button,22,http://en.wikipedia.org/wiki/Jenson_Button,Button,British
David,COU,1971-03-27,coulthard,,http://en.wikipedia.org/wiki/David_Coulthard,Coulthard,British
Anthony,DAV,1979-04-18,davidson,,http://en.wikipedia.org/wiki/Anthony_Davidson,Davidson,British
Giancarlo,FIS,1973-01-14,fisichella,,http://en.wikipedia.org/wiki/Giancarlo_Fisichella,Fisichella,Italian
Lewis,HAM,1985-01-07,hamilton,44,http://en.wikipedia.org/wiki/Lewis_Hamilton,Hamilton,British
Nick,HEI,1977-05-10,heidfeld,,http://en.wikipedia.org/wiki/Nick_Heidfeld,Heidfeld,German
Heikki,KOV,1981-10-19,kovalainen,,http://en.wikipedia.org/wiki/Heikki_Kovalainen,Kovalainen,Finnish
Robert,KUB,1984-12-07,kubica,88,http://en.wikipedia.org/wiki/Robert_Kubica,Kubica,Polish
Vitantonio,LIU,1980-08-06,liuzzi,,http://en.wikipedia.org/wiki/Vitantonio_Liuzzi,Liuzzi,Italian
Felipe,MAS,1981-04-25,massa,19,http://en.wikipedia.org/wiki/Felipe_Massa,Massa,Brazilian
Kazuki,NAK,1985-01-11,nakajima,,http://en.wikipedia.org/wiki/Kazuki_Nakajima,Nakajima,Japanese
Kimi,RAI,1979-10-17,raikkonen,7,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,Räikkönen,Finnish
Nico,ROS,1985-06-27,rosberg,6,http://en.wikipedia.org/wiki/Nico_Rosberg,Rosberg,German
Takuma,SAT,1977-01-28,sato,,http://en.wikipedia.org/wiki/Takuma_Sato,Sato,Japanese
Ralf,SCH,1975-06-30,ralf_schumacher,,http://en.wikipedia.org/wiki/Ralf_Schumacher,Schumacher,German
Scott,SPE,1983-01-24,speed,,http://en.wikipedia.org/wiki/Scott_Speed,Speed,American
Adrian,SUT,1983-01-11,sutil,99,http://en.wikipedia.org/wiki/Adrian_Sutil,Sutil,German
Jarno,TRU,1974-07-13,trulli,,http://en.wikipedia.org/wiki/Jarno_Trulli,Trulli,Italian
Sebastian,VET,1987-07-03,vettel,5,http://en.wikipedia.org/wiki/Sebastian_Vettel,Vettel,German
Mark,WEB,1976-08-27,webber,,http://en.wikipedia.org/wiki/Mark_Webber_(racing_driver),Webber,Australian
Markus,WIN,1980-06-13,markus_winkelhock,,http://en.wikipedia.org/wiki/Markus_Winkelhock,Winkelhock,German
Alexander,WUR,1974-02-15,wurz,,http://en.wikipedia.org/wiki/Alexander_Wurz,Wurz,Austrian
Sakon,YAM,1982-07-09,yamamoto,,http://en.wikipedia.org/wiki/Sakon_Yamamoto,Yamamoto,Japanese
Fernando,ALO,1981-07-29,alonso,14,http://en.wikipedia.org/wiki/Fernando_Alonso,Alonso,Spanish
Rubens,BAR,1972-05-23,barrichello,,http://en.wikipedia.org/wiki/Rubens_Barrichello,Barrichello,Brazilian
Sébastien,BOU,1979-02-28,bourdais,,http://en.wikipedia.org/wiki/S%C3%A9bastien_Bourdais,Bourdais,French
Jenson,BUT,1980-01-19,button,22,http://en.wikipedia.org/wiki/Jenson_Button,Button,British
David,COU,1971-03-27,coulthard,,http://en.wikipedia.org/wiki/David_Coulthard,Coulthard,British
Anthony,DAV,1979-04-18,davidson,,http://en.wikipedia.org/wiki/Anthony_Davidson,Davidson,British
Giancarlo,FIS,1973-01-14,fisichella,,http://en.wikipedia.org/wiki/Giancarlo_Fisichella,Fisichella,Italian
Timo,GLO,1982-03-18,glock,,http://en.wikipedia.org/wiki/Timo_Glock,Glock,German
Lewis,HAM,1985-01-07,hamilton,44,http://en.wikipedia.org/wiki/Lewis_Hamilton,Hamilton,British
Nick,HEI,1977-05-10,heidfeld,,http://en.wikipedia.org/wiki/Nick_Heidfeld,Heidfeld,German
Heikki,KOV,1981-10-19,kovalainen,,http://en.wikipedia.org/wiki/Heikki_Kovalainen,Kovalainen,Finnish
Robert,KUB,1984-12-07,kubica,88,http://en.wikipedia.org/wiki/Robert_Kubica,Kubica,Polish
Felipe,MAS,1981-04-25,massa,19,http://en.wikipedia.org/wiki/Felipe_Massa,Massa,Brazilian
Kazuki,NAK,1985-01-11,nakajima,,http://en.wikipedia.org/wiki/Kazuki_Nakajima,Nakajima,Japanese
Nelson,PIQ,1985-07-25,piquet_jr,,"http://en.wikipedia.org/wiki/Nelson_Piquet,_Jr.",Piquet Jr.,Brazilian
Kimi,RAI,1979-10-17,raikkonen,7,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,Räikkönen,Finnish
Nico,ROS,1985-06-27,rosberg,6,http://en.wikipedia.org/wiki/Nico_Rosberg,Rosberg,German
Takuma,SAT,1977-01-28,sato,,http://en.wikipedia.org/wiki/Takuma_Sato,Sato,Japanese
Adrian,SUT,1983-01-11,sutil,99,http://en.wikipedia.org/wiki/Adrian_Sutil,Sutil,German
Jarno,TRU,1974-07-13,trulli,,http://en.wikipedia.org/wiki/Jarno_Trulli,Trulli,Italian
Sebastian,VET,1987-07-03,vettel,5,http://en.wikipedia.org/wiki/Sebastian_Vettel,Vettel,German
Mark,WEB,1976-08-27,webber,,http://en.wikipedia.org/wiki/Mark_Webber_(racing_driver),Webber,Australian
Jaime,ALG,1990-03-23,alguersuari,,http://en.wikipedia.org/wiki/Jaime_Alguersuari,Alguersuari,Spanish
Fernando,ALO,1981-07-29,alonso,14,http://en.wikipedia.org/wiki/Fernando_Alonso,Alonso,Spanish
Luca,BAD,1971-01-25,badoer,,http://en.wikipedia.org/wiki/Luca_Badoer,Badoer,Italian
Rubens,BAR,1972-05-23,barrichello,,http://en.wikipedia.org/wiki/Rubens_Barrichello,Barrichello,Brazilian
Sébastien,BOU,1979-02-28,bourdais,,http://en.wikipedia.org/wiki/S%C3%A9bastien_Bourdais,Bourdais,French
Sébastien,BUE,1988-10-31,buemi,,http://en.wikipedia.org/wiki/S%C3%A9bastien_Buemi,Buemi,Swiss
Jenson,BUT,1980-01-19,button,22,http://en.wikipedia.org/wiki/Jenson_Button,Button,British
Giancarlo,FIS,1973-01-14,fisichella,,http://en.wikipedia.org/wiki/Giancarlo_Fisichella,Fisichella,Italian
Timo,GLO,1982-03-18,glock,,http://en.wikipedia.org/wiki/Timo_Glock,Glock,German
Romain,GRO,1986-04-17,grosjean,8,http://en.wikipedia.org/wiki/Romain_Grosjean,Grosjean,French
Lewis,HAM,1985-01-07,hamilton,44,http://en.wikipedia.org/wiki/Lewis_Hamilton,Hamilton,British
Nick,HEI,1977-05-10,heidfeld,,http://en.wikipedia.org/wiki/Nick_Heidfeld,Heidfeld,German
Kamui,KOB,1986-09-13,kobayashi,10,http://en.wikipedia.org/wiki/Kamui_Kobayashi,Kobayashi,Japanese
Heikki,KOV,1981-10-19,kovalainen,,http://en.wikipedia.org/wiki/Heikki_Kovalainen,Kovalainen,Finnish
Robert,KUB,1984-12-07,kubica,88,http://en.wikipedia.org/wiki/Robert_Kubica,Kubica,Polish
Vitantonio,LIU,1980-08-06,liuzzi,,http://en.wikipedia.org/wiki/Vitantonio_Liuzzi,Liuzzi,Italian
